StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q24,Q25,Q34,Q26,PROLIFIC_PID
2023-02-22 13:39:14,2023-02-22 13:40:36,IP Address,107.213.216.161,100,82,True,2023-02-22 13:40:37,R_3iIjO8fU7mxHQ9X,,,,,25.7793,-80.2088,anonymous,EN,No,Yes,Yes,Yes,Undecided,Yes,Yes,Yes,Yes,Undecided,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Somewhat unlikely,,,,60fde6c129b3d76aa60ca418
2023-02-22 13:39:26,2023-02-22 13:40:45,IP Address,108.93.17.60,100,78,True,2023-02-22 13:40:45,R_2BaFk5c0SHzzRS3,,,,,29.9509,-90.1007,anonymous,EN,Undecided,Yes,Yes,No,Yes,Yes,Undecided,Yes,Yes,Undecided,Undecided,Yes,No,Yes,Yes,Yes,Yes,Yes,,Somewhat likely,,,60cab9dd5a974695b32eb2ab
2023-02-22 13:39:19,2023-02-22 13:40:46,IP Address,65.184.130.241,100,87,True,2023-02-22 13:40:47,R_27wgTXASFax4Hde,,,,,34.157,-77.9136,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,No,Undecided,Yes,Yes,No,Yes,No,Undecided,Yes,Undecided,Yes,Yes,,,,Somewhat unlikely,611c566a4412b71fd8fb5e20
2023-02-22 13:38:28,2023-02-22 13:40:54,IP Address,73.252.176.175,100,146,True,2023-02-22 13:40:55,R_338df2VltkjXdIP,,,,,37.3209,-121.9126,anonymous,EN,Yes,Undecided,Yes,No,No,Undecided,No,No,Undecided,No,No,Yes,No,Undecided,No,No,Undecided,No,,Neither likely nor unlikely,,,6110e96d5defddb4f3774be2
2023-02-22 13:39:54,2023-02-22 13:41:14,IP Address,64.47.134.80,100,80,True,2023-02-22 13:41:14,R_0e36vxJft1raDIZ,,,,,37.7045,-122.0742,anonymous,EN,Undecided,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Undecided,Yes,No,Yes,No,Neither likely nor unlikely,,,,6160e0e3a8156e01fe3e95a6
2023-02-22 13:40:13,2023-02-22 13:41:20,IP Address,73.124.68.26,100,66,True,2023-02-22 13:41:21,R_2XczGQSNIgDfeiL,,,,,25.7689,-80.1946,anonymous,EN,Yes,Yes,Yes,Yes,Yes,No,No,Undecided,Yes,Undecided,Yes,No,No,Undecided,No,Undecided,Yes,Undecided,,,Somewhat likely,,5e039eccdc8535e95ebc60aa
2023-02-22 13:40:09,2023-02-22 13:41:22,IP Address,47.196.69.5,100,73,True,2023-02-22 13:41:23,R_10C9DDUIx3y7Mtx,,,,,27.9032,-82.2911,anonymous,EN,Yes,Yes,Undecided,Yes,Undecided,No,Yes,Yes,Undecided,Undecided,Undecided,Yes,No,Yes,No,Yes,Yes,No,,Neither likely nor unlikely,,,612d392b4ed3130794cc1eeb
2023-02-22 13:39:29,2023-02-22 13:41:33,IP Address,73.107.92.151,100,123,True,2023-02-22 13:41:33,R_3ijW3KUMGAAOEYx,,,,,26.2422,-81.8062,anonymous,EN,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,Extremely unlikely,63f4734905f91d8c0582dc27
2023-02-22 13:39:49,2023-02-22 13:41:37,IP Address,71.185.183.252,100,108,True,2023-02-22 13:41:37,R_1ltuGqmCgzVwTh9,,,,,39.9357,-75.1832,anonymous,EN,No,Yes,Yes,Yes,No,Yes,Undecided,Yes,No,No,Undecided,Yes,No,Yes,Yes,Undecided,Yes,No,,,,Somewhat likely,5ee76ca2c78ea203bc5ce3d7
2023-02-22 13:40:06,2023-02-22 13:41:56,IP Address,166.205.147.57,100,109,True,2023-02-22 13:41:57,R_2fJT2QDHCIK5fKv,,,,,38.8078,-77.0523,anonymous,EN,Yes,Undecided,Yes,Yes,No,Yes,Undecided,No,Yes,Yes,Undecided,Yes,No,Yes,Yes,No,Yes,No,,Neither likely nor unlikely,,,5eb3dbb0f7d8d01c2ec6ffe3
2023-02-22 13:40:13,2023-02-22 13:42:02,IP Address,172.58.121.200,100,108,True,2023-02-22 13:42:02,R_C8Iy3Ga5bFYIYFz,,,,,40.0326,-82.8799,anonymous,EN,Yes,Undecided,Yes,Undecided,Yes,,Undecided,Undecided,No,Undecided,No,No,No,Undecided,Undecided,Undecided,Yes,Undecided,,,Neither likely nor unlikely,,5fea9f4983f6afa8281acf14
2023-02-22 13:40:36,2023-02-22 13:42:04,IP Address,172.58.6.83,100,88,True,2023-02-22 13:42:04,R_YaGQkijZYgx9AvD,,,,,33.8336,-84.3797,anonymous,EN,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Undecided,Undecided,No,Yes,No,Yes,Yes,Undecided,Undecided,Undecided,Neither likely nor unlikely,,,,6127e94c6abf253c484b38b7
2023-02-22 13:40:47,2023-02-22 13:42:11,IP Address,24.9.56.42,100,84,True,2023-02-22 13:42:12,R_W7rhVDZSVuqednb,,,,,38.8503,-104.8567,anonymous,EN,No,Yes,Yes,No,Undecided,No,Undecided,Yes,Yes,Yes,Undecided,Yes,No,No,Yes,Undecided,No,No,,,,Neither likely nor unlikely,5d96241d473e920012b13ee8
2023-02-22 13:42:13,2023-02-22 13:43:03,IP Address,68.181.21.13,100,49,True,2023-02-22 13:43:03,R_3NxNyS2irR4ZalP,,,,,34.0544,-118.244,anonymous,EN,Yes,Undecided,Yes,Yes,No,Yes,No,Undecided,Yes,Undecided,Yes,No,Yes,Undecided,Yes,No,Undecided,No,Somewhat unlikely,,,,5f95af07a42fca433c888a3b
2023-02-22 13:41:57,2023-02-22 13:43:20,IP Address,73.44.34.229,100,82,True,2023-02-22 13:43:20,R_2dGDcWs9Ypz1otI,,,,,41.5335,-87.8931,anonymous,EN,Yes,No,Yes,Yes,No,Yes,No,Undecided,Undecided,No,No,Yes,No,No,Undecided,No,Yes,No,,,Somewhat likely,,60fcf9abf635e9904cb7dca9
2023-02-22 13:42:19,2023-02-22 13:43:24,IP Address,74.79.29.232,100,65,True,2023-02-22 13:43:25,R_3Ny9Ngw8W66szeZ,,,,,43.9771,-75.9093,anonymous,EN,Yes,Yes,No,Yes,Undecided,No,Undecided,Yes,No,No,No,Undecided,No,Undecided,Yes,Undecided,No,No,,Neither likely nor unlikely,,,60fcd8cbdcebde3d58562aeb
2023-02-22 13:41:51,2023-02-22 13:43:51,IP Address,98.198.119.249,100,120,True,2023-02-22 13:43:52,R_28Mb61ZtWSlKCGd,,,,,29.572,-95.54,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,Undecided,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,,,Somewhat likely,,63d8006d480290b3e15245f1
2023-02-22 13:42:13,2023-02-22 13:44:04,IP Address,71.67.134.167,100,110,True,2023-02-22 13:44:04,R_2AWKUsMquR4Hw6J,,,,,36.9199,-86.4392,anonymous,EN,Yes,Yes,Yes,Yes,No,Undecided,No,Yes,Yes,Undecided,No,Yes,No,Yes,Yes,Undecided,Yes,No,,,,Neither likely nor unlikely,62e073721cd1f5f6cff50910
2023-02-22 13:43:07,2023-02-22 13:44:12,IP Address,98.35.100.206,100,65,True,2023-02-22 13:44:13,R_2SCy36zyv5f18JJ,,,,,37.9043,-122.0584,anonymous,EN,Yes,Yes,Yes,No,Undecided,Yes,Undecided,Yes,Yes,Undecided,Undecided,Yes,No,Yes,Yes,No,Yes,No,Somewhat unlikely,,,,5eadd264593baa0df31702d5
2023-02-22 13:42:00,2023-02-22 13:44:18,IP Address,72.229.71.2,100,138,True,2023-02-22 13:44:19,R_3JftbUE0dGxN2NE,,,,,40.5468,-74.1804,anonymous,EN,Yes,No,Yes,Yes,No,Yes,No,Undecided,Yes,Undecided,No,Yes,No,Undecided,Undecided,No,Undecided,Undecided,Neither likely nor unlikely,,,,5f2405d1223bfd0576b05987
2023-02-22 13:42:57,2023-02-22 13:44:42,IP Address,216.201.56.4,100,105,True,2023-02-22 13:44:43,R_1hXAvVliaK5cXo1,,,,,40.6732,-84.6646,anonymous,EN,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,,Somewhat likely,,,61095beca1f18a14707aee38
2023-02-22 13:41:45,2023-02-22 13:44:55,IP Address,107.115.165.56,100,189,True,2023-02-22 13:44:55,R_u3t7kWTmBFdD6vL,,,,,27.9875,-82.4583,anonymous,EN,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,,Somewhat likely,,,60fd5c60ee87806639d6b9c2
